"study" "treatment" "responders" "sampleSize" "E"
"1" "MRC-E" "Diuretic" 43 1081 5.8
"2" "MRC-E" "Placebo" 34 2213 5.8
"3" "MRC-E" "BB" 37 1102 5.8
"4" "EWPH" "Diuretic" 29 416 4.7
"5" "EWPH" "Placebo" 20 424 4.7
"6" "SHEP" "Diuretic" 140 1631 3
"7" "SHEP" "Placebo" 118 1578 3
"8" "HAPPHY" "Diuretic" 75 3272 3.8
"9" "HAPPHY" "BB" 86 3297 3.8
"10" "ALLHAT" "Diuretic" 302 6766 4
"11" "ALLHAT" "CCB" 154 3954 4
"12" "ALLHAT" "ACEi" 119 4096 4
"13" "INSIGHT" "Diuretic" 176 2511 3
"14" "INSIGHT" "CCB" 136 2508 3
"15" "ANBP-2" "Diuretic" 200 2826 4.1
"16" "ANBP-2" "ACEi" 138 2800 4.1
"17" "ALPINE" "Diuretic" 8 196 1
"18" "ALPINE" "ARB" 1 196 1
"19" "FEVER" "Placebo" 154 4870 3.3
"20" "FEVER" "CCB" 177 4841 3.3
"21" "DREAM" "Placebo" 489 2646 3
"22" "DREAM" "ACEi" 449 2623 3
"23" "HOPE" "Placebo" 155 2883 4.5
"24" "HOPE" "ACEi" 102 2837 4.5
"25" "PEACE" "Placebo" 399 3472 4.8
"26" "PEACE" "ACEi" 335 3432 4.8
"27" "CHARM" "Placebo" 202 2721 3.1
"28" "CHARM" "ARB" 163 2715 3.1
"29" "SCOPE" "Placebo" 115 2175 3.7
"30" "SCOPE" "ARB" 93 2167 3.7
"31" "AASK" "BB" 70 405 3.8
"32" "AASK" "CCB" 32 202 3.8
"33" "AASK" "ACEi" 45 410 3.8
"34" "STOP-2" "BB" 97 1960 4
"35" "STOP-2" "CCB" 95 1965 4
"36" "STOP-2" "ACEi" 93 1970 4
"37" "ASCOT" "BB" 799 7040 5.5
"38" "ASCOT" "CCB" 567 7072 5.5
"39" "NORDIL" "BB" 251 5059 4.5
"40" "NORDIL" "CCB" 216 5095 4.5
"41" "INVEST" "BB" 665 8078 4
"42" "INVEST" "CCB" 569 8098 4
"43" "CAPPP" "BB" 380 5230 6.1
"44" "CAPPP" "ACEi" 337 5183 6.1
"45" "LIFE" "BB" 320 3979 4.8
"46" "LIFE" "ARB" 242 4020 4.8
"47" "VALUE" "CCB" 845 5074 4.2
"48" "VALUE" "ARB" 690 5087 4.2
