"t1" "r1" "n1" "t2" "r2" "n2"
"1" 1 9 140 3 23 140
"2" 1 9 140 4 10 138
"3" 2 11 78 3 12 85
"4" 2 11 78 4 29 170
"5" 1 79 702 2 77 694
"6" 1 18 671 2 21 535
"7" 1 8 116 2 19 146
"8" 1 75 731 3 363 714
"9" 1 2 106 3 9 205
"10" 1 58 549 3 237 1561
"11" 1 0 33 3 9 48
"12" 1 3 100 3 31 98
"13" 1 1 31 3 26 95
"14" 1 6 39 3 17 77
"15" 1 95 1107 3 134 1031
"16" 1 15 187 3 35 504
"17" 1 78 584 3 73 675
"18" 1 69 1177 3 54 888
"19" 1 64 642 3 107 761
"20" 1 5 62 3 8 90
"21" 1 20 234 3 34 237
"22" 1 0 20 4 9 20
"23" 2 20 49 3 16 43
"24" 2 7 66 4 32 127
"25" 3 12 76 4 20 74
"26" 3 9 55 4 3 26
