time[]	t[,1]	r[,1]	n[,1]	t[,2]	r[,2]	n[,2]	t[,3]	r[,3]	n[,3]	na[]	#		
5.8	1	43	1081	2	34	2213	3	37	1102	3	#	MRC-E	38
4.7	1	29	416	2	20	424	NA	NA	NA	2	#	EWPH	32
3	1	140	1631	2	118	1578	NA	NA	NA	2	#	SHEP	42
3.8	1	75	3272	3	86	3297	NA	NA	NA	2	#	HAPPHY	33
4	1	302	6766	4	154	3954	5	119	4096	3	#	ALLHAT	26
3	1	176	2511	4	136	2508	NA	NA	NA	2	#	INSIGHT	35
4.1	1	200	2826	5	138	2800	NA	NA	NA	2	#	ANBP-2	18
1	1	8	196	6	1	196	NA	NA	NA	2	#	ALPINE	27
3.3	2	154	4870	4	177	4841	NA	NA	NA	2	#	FEVER	20
3	2	489	2646	5	449	2623	NA	NA	NA	2	#	DREAM	31
4.5	2	155	2883	5	102	2837	NA	NA	NA	2	#	HOPE	34
4.8	2	399	3472	5	335	3432	NA	NA	NA	2	#	PEACE	40
3.1	2	202	2721	6	163	2715	NA	NA	NA	2	#	CHARM	30
3.7	2	115	2175	6	93	2167	NA	NA	NA	2	#	SCOPE	41
3.8	3	70	405	4	32	202	5	45	410	3	#	AASK	25
4	3	97	1960	4	95	1965	5	93	1970	3	#	STOP-2	43
5.5	3	799	7040	4	567	7072	NA	NA	NA	2	#	ASCOT	28
4.5	3	251	5059	4	216	5095	NA	NA	NA	2	#	NORDIL	39
4	3	665	8078	4	569	8098	NA	NA	NA	2	#	INVEST	36
6.1	3	380	5230	5	337	5183	NA	NA	NA	2	#	CAPPP	29
4.8	3	320	3979	6	242	4020	NA	NA	NA	2	#	LIFE	37
4.2	4	845	5074	6	690	5087	NA	NA	NA	2	#	VALUE	44
